event_id,event_start,event_end,peak_date,peak_close,peak_drift_score,return_5d,return_20d,cot_report_date_used,cot_release_date_estimate,cot_fill_status,cot_days_since_report,most_abnormal_cot_context
5,2001-05-01,2001-05-10,2001-05-08,66.4000015258789,2.4921122602511687,0.029457387998122586,0.15277783480691465,2001-05-08,2001-05-11,original_cot_row,0.0,Open_Interest_All z=1.6; noncommercial_net z=0.3; commercial_net z=0.2
36,2007-02-05,2007-02-21,2007-02-13,113.6999969482422,2.4883885249027764,-0.024034360959294454,-0.06535145481231641,2007-02-13,2007-02-16,original_cot_row,0.0,swap_dealer_net z=0.6; Open_Interest_All z=0.4; managed_money_net_pct_oi z=0.3; commercial_net z=0.1; noncommercial_net z=0.1
73,2013-11-21,2013-11-21,2013-11-21,110.4499969482422,2.4636809297053213,0.07651070751332534,0.0013598720973200251,2013-11-19,2013-11-22,forward_filled_from_previous_cot,2.0,managed_money_net_pct_oi z=1.4; commercial_net z=1.3; noncommercial_net z=1.2; swap_dealer_net z=1.2; Open_Interest_All z=0.1
112,2020-07-22,2020-07-27,2020-07-22,108.3499984741211,2.4548486627012713,0.12923399604241537,0.12571426986099832,2020-07-21,2020-07-24,forward_filled_from_previous_cot,1.0,Open_Interest_All z=1.6; managed_money_net_pct_oi z=0.9; noncommercial_net z=0.5; commercial_net z=0.4; swap_dealer_net z=0.3
117,2021-11-17,2021-12-07,2021-11-24,246.3000030517578,2.4520214166439875,0.058899383442600595,0.22324308709051177,2021-11-23,2021-11-26,forward_filled_from_previous_cot,1.0,commercial_net z=2.0; noncommercial_net z=1.9; Open_Interest_All z=1.6; managed_money_net_pct_oi z=1.0; swap_dealer_net z=0.8
56,2010-08-24,2010-09-21,2010-08-27,177.0500030517578,2.4460366218607414,-0.024786559759611304,0.004254112234926222,2010-08-24,2010-08-27,forward_filled_from_previous_cot,3.0,managed_money_net_pct_oi z=1.1; noncommercial_net z=0.9; commercial_net z=0.8; swap_dealer_net z=0.7; Open_Interest_All z=0.2
45,2008-12-05,2008-12-05,2008-12-05,101.5999984741211,2.445451299763753,-0.1095530251285245,-0.08468469843134152,2008-12-02,2008-12-05,forward_filled_from_previous_cot,3.0,commercial_net z=0.9; managed_money_net_pct_oi z=0.8; Open_Interest_All z=0.7; noncommercial_net z=0.7; swap_dealer_net z=0.2
16,2003-05-28,2003-05-30,2003-05-30,58.349998474121094,2.4415967280521857,-0.12057272319486623,-0.14380048176574745,2003-05-27,2003-05-30,forward_filled_from_previous_cot,3.0,Open_Interest_All z=1.3; noncommercial_net z=0.4; commercial_net z=0.2
98,2018-04-11,2018-04-13,2018-04-13,117.3000030517578,2.429427553783761,-0.0012770872744296557,-0.002974912618629477,2018-04-10,2018-04-13,forward_filled_from_previous_cot,3.0,noncommercial_net z=1.9; managed_money_net_pct_oi z=1.7; commercial_net z=1.7; Open_Interest_All z=1.6; swap_dealer_net z=1.0
129,2023-09-19,2023-09-19,2023-09-19,167.5,2.4217144265934305,0.11147978362287403,0.13520838045150096,2023-09-19,2023-09-22,original_cot_row,0.0,managed_money_net_pct_oi z=0.8; commercial_net z=0.7; noncommercial_net z=0.6; Open_Interest_All z=0.5; swap_dealer_net z=0.3
58,2010-11-16,2010-11-16,2010-11-16,197.8000030517578,2.4138506492032232,-0.0886892408631279,0.036144627427358245,2010-11-16,2010-11-19,original_cot_row,0.0,managed_money_net_pct_oi z=1.1; noncommercial_net z=0.7; commercial_net z=0.7; swap_dealer_net z=0.7; Open_Interest_All z=0.4
64,2011-09-01,2011-09-08,2011-09-01,290.70001220703125,2.410800890132477,0.058438079982612745,0.23256308960806948,2011-08-30,2011-09-02,forward_filled_from_previous_cot,2.0,Open_Interest_All z=0.8; managed_money_net_pct_oi z=0.8; noncommercial_net z=0.3; commercial_net z=0.2; swap_dealer_net z=0.1
25,2005-06-10,2005-06-14,2005-06-14,110.75,2.4037611843207345,-0.11928429423459241,-0.02637362637362639,2005-06-14,2005-06-17,original_cot_row,0.0,Open_Interest_All z=1.0; noncommercial_net z=0.1; commercial_net z=0.1
80,2015-03-20,2015-03-20,2015-03-20,143.35000610351562,2.4014072941888416,0.13364973952661185,-0.035654140669925005,2015-03-17,2015-03-20,forward_filled_from_previous_cot,3.0,swap_dealer_net z=0.9; managed_money_net_pct_oi z=0.5; commercial_net z=0.5; Open_Interest_All z=0.5; noncommercial_net z=0.4
42,2008-06-26,2008-06-26,2008-06-26,151.25,2.389378218342539,0.1044176952932847,0.14150943396226423,2008-06-24,2008-06-27,forward_filled_from_previous_cot,2.0,swap_dealer_net z=1.8; managed_money_net_pct_oi z=0.6; noncommercial_net z=0.5; commercial_net z=0.4; Open_Interest_All z=0.3
43,2008-07-09,2008-07-10,2008-07-09,138.35000610351562,2.384241048399195,-0.09397505652597038,0.02443541634347901,2008-07-08,2008-07-11,forward_filled_from_previous_cot,1.0,swap_dealer_net z=1.9; managed_money_net_pct_oi z=0.7; noncommercial_net z=0.5; commercial_net z=0.4; Open_Interest_All z=0.2
